"#joke_0.eaf"
"#E:\GitHub\CapstoneWork\Mid-Joke Laughter Annotations\2019-04-13 Cienna Nerdy Show at The Drake\joke_0.eaf"
11.75	12.573	0.823	Laughter

"#joke_1.eaf"
"#E:\GitHub\CapstoneWork\Mid-Joke Laughter Annotations\2019-04-13 Cienna Nerdy Show at The Drake\joke_1.eaf"
18.52	20.6	2.08	Laughter

"#joke_10.eaf"
"#E:\GitHub\CapstoneWork\Mid-Joke Laughter Annotations\2019-04-13 Cienna Nerdy Show at The Drake\joke_10.eaf"
2.41	3.047	0.637	Laughter

"#joke_11.eaf"
"#E:\GitHub\CapstoneWork\Mid-Joke Laughter Annotations\2019-04-13 Cienna Nerdy Show at The Drake\joke_11.eaf"
21.78	22.516	0.736	Laughter

"#joke_12.eaf"
"#E:\GitHub\CapstoneWork\Mid-Joke Laughter Annotations\2019-04-13 Cienna Nerdy Show at The Drake\joke_12.eaf"

"#joke_13.eaf"
"#E:\GitHub\CapstoneWork\Mid-Joke Laughter Annotations\2019-04-13 Cienna Nerdy Show at The Drake\joke_13.eaf"
8.59	9.4	0.81	Laughter
9.46	12.29	2.83	Laughter

"#joke_14.eaf"
"#E:\GitHub\CapstoneWork\Mid-Joke Laughter Annotations\2019-04-13 Cienna Nerdy Show at The Drake\joke_14.eaf"

"#joke_15.eaf"
"#E:\GitHub\CapstoneWork\Mid-Joke Laughter Annotations\2019-04-13 Cienna Nerdy Show at The Drake\joke_15.eaf"

"#joke_16.eaf"
"#E:\GitHub\CapstoneWork\Mid-Joke Laughter Annotations\2019-04-13 Cienna Nerdy Show at The Drake\joke_16.eaf"

"#joke_17.eaf"
"#E:\GitHub\CapstoneWork\Mid-Joke Laughter Annotations\2019-04-13 Cienna Nerdy Show at The Drake\joke_17.eaf"

"#joke_18.eaf"
"#E:\GitHub\CapstoneWork\Mid-Joke Laughter Annotations\2019-04-13 Cienna Nerdy Show at The Drake\joke_18.eaf"
6.08	7.75	1.67	Laughter

